timestamp,Red,IR
1760728292.9507165,53076.0,67443.0
1760728292.994838,53112.0,67540.0
1760728293.0338147,53138.0,67633.0
1760728293.070032,53171.0,67731.0
1760728293.1005201,53197.0,67691.0
1760728293.1533244,53083.0,67012.0
1760728293.1841438,52800.0,66238.0
1760728293.2252822,52625.0,66011.0
1760728293.2610497,52619.0,66117.0
1760728293.3050334,52658.0,66288.0
1760728293.3539472,52728.0,66534.0
1760728293.3804579,52813.0,66748.0
1760728293.4241157,52854.0,66797.0
1760728293.4604876,52862.0,66795.0
1760728293.5003679,52867.0,66842.0
1760728293.5405583,52888.0,66960.0
1760728293.580919,52930.0,67114.0
1760728293.6193771,52992.0,67269.0
1760728293.6669765,53048.0,67434.0
1760728293.7077565,53104.0,67583.0
1760728293.7542758,53149.0,67690.0
1760728293.783416,53187.0,67783.0
1760728293.8195457,53219.0,67874.0
1760728293.873954,53254.0,67997.0
1760728293.9131713,53284.0,67972.0
1760728293.9531426,53165.0,67265.0
1760728293.9948466,52861.0,66382.0
1760728294.0275865,52645.0,66044.0
1760728294.0649354,52619.0,66087.0
1760728294.1033664,52647.0,66190.0
1760728294.1442137,52697.0,66422.0
1760728294.1846569,52786.0,66631.0
1760728294.2227557,52832.0,66718.0
1760728294.259355,52843.0,66723.0
1760728294.3038576,52850.0,66776.0
1760728294.3393316,52870.0,66868.0
1760728294.378579,52904.0,67014.0
1760728294.4185965,52964.0,67192.0
1760728294.4585836,53027.0,67341.0
1760728294.498584,53083.0,67510.0
1760728294.5387974,53134.0,67605.0
1760728294.5785563,53156.0,67679.0
1760728294.6183712,53190.0,67769.0
1760728294.658538,53219.0,67855.0
1760728294.6985736,53251.0,67918.0
1760728294.7385416,53196.0,67375.0
1760728294.7785716,52918.0,66464.0
1760728294.8186145,52648.0,65983.0
1760728294.8585832,52587.0,65984.0
1760728294.8985853,52621.0,66107.0
1760728294.9389565,52671.0,66337.0
1760728294.978331,52765.0,66593.0
1760728295.0307658,52828.0,66689.0
1760728295.0724926,52838.0,66695.0
1760728295.1075888,52843.0,66741.0
1760728295.1388228,52858.0,66809.0
1760728295.1785464,52891.0,66945.0
1760728295.217261,52940.0,67094.0
1760728295.257474,52997.0,67252.0
1760728295.2974446,53046.0,67402.0
1760728295.3375595,53093.0,67514.0
1760728295.377552,53128.0,67593.0
1760728295.417582,53155.0,67668.0
1760728295.4575713,53181.0,67721.0
1760728295.4975412,53202.0,67797.0
1760728295.5375302,53229.0,67831.0
1760728295.577537,53164.0,67251.0
1760728295.6175776,52866.0,66280.0
1760728295.6575365,52585.0,65772.0
1760728295.697538,52511.0,65733.0
1760728295.7375374,52521.0,65776.0
